FID,lamp_post_info_id,parent_id,department_id,responsible_id,lamp_status_id,lamp_survey_id,lamp_post_type_id,lamp_cover_type_id,single_tag_lamp_type_id,lamp_post_code,geom,color_code,longitude,latitude,iot_control_id,lux,lamp_survey_name,district_name,lamp_post_type_name
bma_streetlight.fid-122492c5_19f42063c6e_-37cf,419185,419185,1,3,1,1,2,1,10,lamp-ID-2616db30-9f27-4aef-adb1-c46d0d7316b0,POINT (13.73789529244365 100.52952758531572),#ABABAB,100.5295,13.7379,2,,ไม่มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-37ce,423315,423315,2,33,1,2,1,1,1,lamp-ID-e3634e2c-8a6f-499b-986f-003eb9d32cd9,POINT (13.748312880701896 100.54621709900795),#E3525B,100.5462,13.7483,2,,มี,ปทุมวัน,เสา คสล. กิ่งเดี่ยวขาจับ
bma_streetlight.fid-122492c5_19f42063c6e_-37cd,860484,528257,1,3,1,2,2,1,3,lamp-ID-54f27702-0bbd-4f22-a115-36cb762919d8,POINT (13.735741 100.546173),#9D5A9B,100.5462,13.7357,1,,มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-37cc,571408,571408,2,33,1,1,2,1,1,lamp-ID-15fc636e-ab65-44dd-9b1b-3aa0a977cf41,POINT (13.74182162942022 100.54408807055411),#E3525B,100.5441,13.7418,2,,ไม่มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-37cb,689064,689064,2,33,1,1,2,1,10,lamp-ID-926cd00d-3239-4ec0-9cc8-986f3dc5c941,POINT (13.74000511501513 100.52403663628128),#ABABAB,100.524,13.74,2,,ไม่มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-37ca,749997,749997,2,33,1,2,1,1,3,lamp-ID-e053487b-14d3-4d03-a5ad-4576ba3696d4,POINT (13.74499913513638 100.54566130042079),#9D5A9B,100.5457,13.745,2,,มี,ปทุมวัน,เสา คสล. กิ่งเดี่ยวขาจับ
bma_streetlight.fid-122492c5_19f42063c6e_-37c9,471125,471125,1,3,1,1,2,1,10,lamp-ID-66f0a595-231a-4cfe-a094-391f5c1e4068,POINT (13.736713515168955 100.53917182265846),#ABABAB,100.5392,13.7367,2,,ไม่มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-37c8,758282,758282,2,33,1,2,2,1,10,lamp-ID-b91909cf-2e86-42c8-b1a3-3a15b026ace4,POINT (13.752169732254256 100.52038818597795),#ABABAB,100.5204,13.7522,2,,มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-37c7,601067,601067,2,33,1,1,2,1,10,lamp-ID-ec616b6b-5dcc-4c8c-91f4-4d6d9e85c188,POINT (13.734015033653076 100.54363024812105),#ABABAB,100.5436,13.734,2,,ไม่มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-37c6,880128,770245,2,33,1,2,4,1,3,lamp-ID-7166526b-b266-4dba-a19a-bc6bccc62be1,POINT (13.74406014223276 100.54433568549031),#9D5A9B,100.5443,13.7441,2,,มี,ปทุมวัน,เสาปะติมากรรม
bma_streetlight.fid-122492c5_19f42063c6e_-37c5,863475,428880,2,33,1,2,1,1,3,lamp-ID-c0e30254-81bd-4a6f-81e6-7789f1bafb01,POINT (13.728301 100.550705),#9D5A9B,100.5507,13.7283,1,,มี,ปทุมวัน,เสา คสล. กิ่งเดี่ยวขาจับ
bma_streetlight.fid-122492c5_19f42063c6e_-37c4,862950,555548,2,33,1,2,1,1,3,lamp-ID-c7cdaad0-03e0-4ce9-8720-344ddede0295,POINT (13.731569 100.547618),#9D5A9B,100.5476,13.7316,1,,มี,ปทุมวัน,เสา คสล. กิ่งเดี่ยวขาจับ
bma_streetlight.fid-122492c5_19f42063c6e_-37c3,471794,471794,2,33,1,1,2,1,10,lamp-ID-4c76c973-0275-4f6c-aa7e-a9f2ab6f99d2,POINT (13.73357739590325 100.53890805417745),#ABABAB,100.5389,13.7336,2,,ไม่มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-37c2,860430,714556,1,3,1,1,2,1,3,lamp-ID-308f03ee-f40a-4c45-8ecd-5dd4e493a172,POINT (13.740679 100.54711),#9D5A9B,100.5471,13.7407,1,,ไม่มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
