risk_id,risk_year,risk_group,District,risk_type,area
49,2566,2,เขตภาษีเจริญ,2,ถนนเพชรเกษม จากหน้าตลาดบางแค ถึงคลองบางหว้า
48,2566,2,เขตบางขุนเทียน,2,ถนนบางขุนเทียน - ชายทะเล ช่วงจากถนนพระรามที่ 2 ถึงคลองสะแกงาม
47,2566,2,เขตทุ่งครุ,2,ถนนประชาอุทิศ จากคลองรางตรง ถึงคลองรางจาก
46,2566,2,เขตตลิ่งชัน,2,ถนนเลียบทางรถไฟสายใต้ฝั่งขาออก บริเวณวงเวียนชัยพฤกษ์
45,2566,2,เขตตลิ่งชัน,2,ถนนฉิมพลี  จากอู่สง่า ถึงถนนบรมราชชนนี
44,2566,2,เขตจอมทอง,2,ถนนจอมทอง บริเวณแยกวุฒากาศ
43,2566,1,เขตสะพานสูง,2,ถนนกรุงเทพกรีฑา จากถนนศรีนครินทร์ ถึงคลองทับช้างล่าง
42,2566,1,เขตบางกะปิ,2,ถนนศรีนครินทร์ จากแยกลำสาลี ถึงถนนกรุงเทพกรีฑา
41,2566,1,เขตบางกะปิ,2,ถนนรามคำแหง ช่วงหน้ามหาวิทยาลัยรามคำแหง
40,2566,1,เขตสาทร,2,ถนนสาธุประดิษฐ์  บริเวณแยกตัดถนนจันทน์
39,2566,1,เขตสาทร,2,ถนนจันทน์ ช่วงจากซอยบำเพ็ญกุศล ถึงที่ทำการไปรษณีย์ยานนาวา
38,2566,1,เขตสวนหลวง,2,ถนนรามคำแหง ช่วงซอย 1 ถึงซอย 5
37,2566,1,เขตสวนหลวง,2,ถนนพัฒนาการ จากแยกศรีนครินทร์ ถึงคลองบ้านป่า
36,2566,1,เขตวัฒนา,2,ถนนอโศกมนตรี บริเวณหน้าตึกแกรมมี่
35,2566,1,เขตวัฒนา,2,ถนนสุขุมวิท จากแยกอโศก ถึงสุขุมวิท 71
34,2566,1,เขตบางนา,2,ถนนศรีนครินทร์ บริเวณหน้าวัดศรีเอี่ยม
33,2566,1,เขตคลองเตย,2,ถนนสุนทรโกษา จากแยกสุนทรโกษา ถึงหน้ากรมศุลกากร
32,2566,1,เขตคลองเตย,2,ถนนพระราม 4 จากแยกสุขุมวิท ถึงแยกถนนเกษมราษฎร์
31,2566,1,เขตคลองเตย,2,ถนนพระราม 3 บริเวณตลาดฮ่องกงปีนัง ถึงแยก ณ ระนอง
30,2566,1,เขตห้วยขวาง,2,ถนนเพชรบุรี จากแยกอโศก ถึงคลองบางกะปิ
29,2566,1,เขตวังทองหลาง,2,ถนนลาดพร้าว จากแยกประดิษฐ์มนูธรรม ถึงคลองจั่น
28,2566,1,เขตราชเทวี,2,ถนนศรีอยุธยา จากหน้าวังสวนผักกาด ถึงแยกพญาไท
27,2566,1,เขตราชเทวี,2,ถนนราชปรารภ จากประตูน้ำ ถึงแยกดินแดง
26,2566,1,เขตราชเทวี,2,ถนนพระราม 6 จากหน้าตลาดประแจจีน ถึงแยกศรีอยุธยา
25,2566,1,เขตราชเทวี,2,ถนนเพชรบุรี จากแยกอโศก ถึงแยกมิตรสัมพันธ์
24,2566,1,เขตพระนคร,2,ถนนสนามไชย จากซอยเศรษฐการ ถึงถนนท้ายวังและรอบสนามหลวง
23,2566,1,เขตพญาไท,2,ถนนวิภาวดีรังสิต จากแยกสุทธิสาร ถึงคลองบางซื่อ
22,2566,1,เขตพญาไท,2,ถนนสุทธิสารวินิจฉัย (ตลอดสาย)
21,2566,1,เขตพญาไท,2,ถนนพระราม 6 บริเวณช่วงทางด่วน
20,2566,1,เขตพญาไท,2,ถนนพหลโยธิน จากคลองสามเสน ถึงคลองบางซื่อ
19,2566,1,เขตพญาไท,2,ถนนประดิพัทธ์ บริเวณแยกสะพานควาย
18,2566,1,เขตดุสิต,2,ถนนศรีอยุธยา บริเวณหน้าพระราชวังดุสิต
17,2566,1,เขตดินแดง,2,ถนนวิภาวดีรังสิต บริเวณหน้ากรมทหารราบที่ 1 มหาดเล็กรักษาพระองค์
16,2566,1,เขตดินแดง,2,ถนนรัชดาภิเษก จากแยกพระราม 9 ถึงแยกห้วยขวาง
15,2566,1,เขตดินแดง,2,ถนนประชาสุขตลอดสาย
14,2566,1,เขตดินแดง,2,ถนนประชาสงเคราะห์ จากวงเวียนหอนาฬิกา ถึงถนนประชาราษฎร์บำเพ็ญ
13,2566,1,เขตดินแดง,2,ถนนดินแดง ช่วงซอยสุทธิพร 2 และแยกประชาสงเคราะห์
12,2566,1,เขตบางเขน,2,ถนนแจ้งวัฒนะ  บริเวณหน้ามหาวิทยาลัยราชภัฏพระนคร
11,2566,1,เขตจตุจักร,2,ถนนรัชดาภิเษก จากแยกรัชโยธิน ถึงซอยอาภาภิรมย์
10,2566,1,เขตจตุจักร,2,ถนนพหลโยธิน บริเวณกรมการขนส่งทางบก
9,2566,1,เขตจตุจักร,2,ถนนกำแพงเพชร 3 จากสวนสมเด็จพระนางเจ้าสิริกิติ์ ถึงถนนกำแพงเพชร
8,2566,1,เขตจตุจักร,2,ถนนกำแพงเพชร บริเวณแยกถนนกำแพงเพชร 1
7,2566,1,เขตจตุจักร,2,ถนนเทศบาลสงเคราะห์ จากคลองประปา ถึงคลองเปรมประชากร
6,2566,2,เขตบางแค,1,ถนนหมู่บ้านเศรษฐกิจ ช่วงจากถนนเพชรเกษม ถึงวงเวียนกาญจนาภิเษก
5,2566,2,เขตบางแค,1,ถนนเพชรเกษม ช่วงจากคลองทวีวัฒนา ถึงคลองราชมนตรี
4,2566,1,เขตราชเทวี,1,ถนนศรีอยุธยา บริเวณหน้า สน.พญาไท
3,2566,1,เขตราชเทวี,1,ถนนพญาไท บริเวณหน้ากรมปศุสัตว์
2,2566,1,เขตหลักสี่,1,ถนนแจ้งวัฒนะ ช่วงจากคลองประปา ถึงคลองเปรมประชากร
1,2566,1,เขตจตุจักร,1,ถนนรัชดาภิเษก บริเวณหน้าธนาคารกรุงเทพ
